sport,role,gender,age,weight_kg,height_cm,training_intensity,session_duration_min,training_days_per_week,is_match_day,is_recovery_day,fatigue_score,goal,diet_type,sport_enc,gender_enc,goal_enc,diet_enc,calories_kcal,protein_g,carbs_g,fat_g,needs_iron,needs_calcium,needs_vitd
Kabaddi,Defender,male,18,75.3,171,3,75,5,0,1,4,maintain,non-veg,2,0,0,1,3446,143.7,596.9,53.7,0,1,0
Athletics,Long-distance runner,male,17,57.9,187,5,30,6,0,0,7,bulk,veg,3,0,1,0,2984,108.3,489.3,66.0,1,1,1
Wrestling,Freestyle wrestler,male,20,87.7,187,5,150,5,0,0,5,bulk,veg,4,0,1,0,3830,205.7,580.9,76.0,0,0,1
Wrestling,Freestyle wrestler,male,28,88.6,181,5,97,3,1,0,4,bulk,non-veg,4,0,1,1,4020,235.7,586.8,81.1,0,0,1
Wrestling,Freestyle wrestler,male,26,77.2,179,5,37,4,0,0,4,maintain,veg,4,0,0,0,3491,199.0,532.4,62.8,0,0,1
Athletics,Hurdler,female,18,66.5,159,2,75,5,0,0,7,cut,non-veg,3,1,2,1,3477,129.3,660.7,35.2,1,1,0
Cricket,Batsman,male,23,61.4,167,5,70,5,0,1,4,bulk,non-veg,0,0,1,1,2676,99.1,269.4,133.6,0,0,0
Football,Striker,male,20,69.0,173,5,141,3,0,0,4,bulk,non-veg,1,0,1,1,3489,144.1,578.9,66.3,0,0,0
Cricket,All-rounder,male,15,65.2,169,6,73,4,0,0,3,bulk,non-veg,0,0,1,1,3003,112.9,423.6,95.2,0,1,0
Wrestling,Freestyle wrestler,male,18,61.1,167,4,72,3,0,0,2,maintain,non-veg,4,0,0,1,2526,145.4,364.5,54.1,0,1,1
Kabaddi,All-rounder,female,18,55.9,169,8,81,4,0,0,3,cut,veg,2,1,2,0,2293,97.2,374.1,45.3,1,1,0
Football,Midfielder,female,22,49.9,155,6,50,6,1,0,3,maintain,veg,1,1,0,0,2244,100.5,302.8,70.1,1,0,0
Badminton,Doubles player,male,17,67.7,165,5,133,5,1,0,7,maintain,non-veg,5,0,0,1,3590,134.6,617.0,64.8,0,1,1
Football,Striker,male,21,82.2,158,7,119,3,0,0,3,maintain,non-veg,1,0,0,1,3281,160.7,514.1,64.6,0,0,0
Athletics,Hurdler,female,23,68.8,155,4,129,5,0,0,5,bulk,non-veg,3,1,1,1,3619,147.6,635.3,54.2,1,0,0
Football,Winger,male,21,67.7,175,5,98,3,0,1,3,maintain,non-veg,1,0,0,1,2573,135.6,327.6,80.0,0,0,0
Wrestling,Freestyle wrestler,male,16,62.7,161,7,87,2,0,1,3,bulk,non-veg,4,0,1,1,2849,161.7,365.5,82.2,0,1,1
Wrestling,Freestyle wrestler,male,17,53.6,175,4,89,4,0,1,3,maintain,non-veg,4,0,0,1,2674,126.0,427.4,51.2,0,1,1
Cricket,Spin bowler,female,26,45.0,172,5,91,3,0,0,2,bulk,non-veg,0,1,1,1,2275,83.2,266.1,97.5,1,0,0
Kabaddi,Defender,female,19,46.3,161,6,57,5,1,0,4,maintain,non-veg,2,1,0,1,2474,117.8,387.0,50.5,1,1,0
Football,Midfielder,male,14,59.9,164,3,100,5,0,0,6,bulk,non-veg,1,0,1,1,2950,109.6,500.0,56.9,0,1,0
Wrestling,Freestyle wrestler,female,14,68.3,152,5,118,5,0,0,3,bulk,veg,4,1,1,0,3042,174.9,458.6,56.5,1,1,1
Cricket,Fast bowler,female,28,53.4,159,5,97,5,1,0,6,maintain,non-veg,0,1,0,1,2711,119.6,446.4,49.7,1,0,0
Cricket,Wicket-keeper,female,15,61.8,159,9,104,3,0,1,5,maintain,non-veg,0,1,0,1,2470,100.6,398.0,52.8,1,1,0
Cricket,Batsman,male,24,71.8,155,6,77,5,0,1,6,maintain,veg,0,0,0,0,2789,124.7,448.0,55.4,0,0,0
Football,Winger,male,20,74.2,177,5,113,4,0,0,4,bulk,non-veg,1,0,1,1,3105,120.2,453.2,90.2,0,0,0
Wrestling,Freestyle wrestler,male,21,79.8,177,5,54,5,0,0,7,bulk,non-veg,4,0,1,1,3228,153.3,494.5,70.8,1,0,1
Badminton,Doubles player,male,19,67.4,171,6,86,4,0,0,3,cut,veg,5,0,2,0,2978,128.0,497.6,52.8,0,1,1
Wrestling,Greco-Roman wrestler,female,19,50.5,152,8,106,3,0,1,6,bulk,non-veg,4,1,1,1,2545,129.8,391.4,51.1,1,1,1
Badminton,Doubles player,male,23,69.2,183,6,47,5,0,0,5,maintain,non-veg,5,0,0,1,2848,120.4,438.1,68.2,0,0,1
Badminton,Doubles player,female,16,48.2,160,6,94,4,1,0,6,maintain,veg,5,1,0,0,2674,88.6,463.7,51.6,1,1,1
Badminton,Singles player,female,18,45.0,160,5,93,5,0,0,3,maintain,non-veg,5,1,0,1,1918,84.0,291.2,46.4,1,1,1
Athletics,Thrower,male,20,93.7,170,6,67,6,0,0,5,maintain,non-veg,3,0,0,1,4085,170.6,693.6,69.8,0,0,0
Football,Striker,male,18,72.2,162,8,52,4,0,0,3,bulk,veg,1,0,1,0,3365,124.4,557.6,70.8,0,1,0
Cricket,Batsman,male,16,77.7,176,1,101,3,1,0,3,bulk,non-veg,0,0,1,1,3063,131.6,448.1,82.7,0,1,0
Cricket,Batsman,male,15,56.2,182,7,141,5,0,0,4,bulk,non-veg,0,0,1,1,3070,95.7,391.7,124.5,0,1,0
Cricket,Spin bowler,male,14,84.0,175,6,88,5,0,0,2,cut,non-veg,0,0,2,1,3415,140.6,576.5,60.7,0,1,0
Athletics,Thrower,female,20,61.7,154,4,97,5,1,0,1,bulk,non-veg,3,1,1,1,4053,152.0,730.1,58.3,1,0,0
Badminton,Doubles player,female,17,52.5,172,5,107,5,0,0,5,bulk,veg,5,1,1,0,2466,99.2,379.2,61.4,1,1,1
Athletics,Sprinter,female,26,61.1,165,4,120,6,0,0,3,maintain,non-veg,3,1,0,1,3111,106.9,566.3,46.5,1,0,0
Kabaddi,All-rounder,male,15,72.0,159,6,56,3,1,0,2,maintain,non-veg,2,0,0,1,3436,160.3,547.4,67.3,0,1,0
Kabaddi,Raider,female,25,69.9,167,4,100,3,1,0,6,maintain,veg,2,1,0,0,3346,153.0,555.8,56.7,1,0,0
Athletics,Hurdler,female,27,55.0,153,3,95,4,0,0,5,bulk,non-veg,3,1,1,1,2595,103.5,442.5,45.7,1,0,0
Wrestling,Freestyle wrestler,female,27,72.2,169,4,77,5,0,0,2,bulk,non-veg,4,1,1,1,3213,139.8,533.7,57.7,1,1,1
Kabaddi,All-rounder,male,24,71.0,173,4,89,4,0,0,4,maintain,non-veg,2,0,0,1,3306,133.2,563.4,57.7,0,0,0
Football,Defender,male,20,64.3,177,4,94,4,0,0,4,cut,veg,1,0,2,0,2894,118.5,494.2,49.2,0,0,0
Kabaddi,Raider,male,14,45.0,163,9,89,4,0,1,6,bulk,non-veg,2,0,1,1,2727,94.3,294.0,130.4,0,1,0
Cricket,Wicket-keeper,male,23,70.8,174,6,104,4,0,0,9,bulk,non-veg,0,0,1,1,3081,107.0,361.3,134.2,0,0,0
Football,Midfielder,male,18,77.6,168,4,147,4,0,0,10,maintain,non-veg,1,0,0,1,3465,145.1,586.1,60.0,0,1,0
Kabaddi,Defender,male,28,58.6,176,6,36,5,0,0,4,cut,non-veg,2,0,2,1,2762,117.4,462.7,49.1,0,0,0
Wrestling,Freestyle wrestler,male,18,83.3,171,8,102,5,0,0,4,maintain,non-veg,4,0,0,1,3684,205.1,556.7,70.7,0,1,1
Wrestling,Freestyle wrestler,male,16,73.4,177,6,31,3,0,0,4,cut,non-veg,4,0,2,1,2840,144.1,438.0,56.9,0,1,1
Wrestling,Freestyle wrestler,male,25,67.5,178,6,132,6,0,0,4,cut,veg,4,0,2,0,3162,167.9,502.5,53.4,0,0,1
Badminton,Doubles player,male,20,76.0,166,7,107,5,0,0,4,bulk,non-veg,5,0,1,1,3195,133.8,434.0,102.6,0,0,1
Football,Defender,male,19,54.7,165,6,74,4,0,0,8,maintain,non-veg,1,0,0,1,2731,104.3,455.5,54.6,0,1,0
Athletics,Sprinter,male,15,61.5,174,6,84,5,0,0,5,maintain,veg,3,0,0,0,2756,112.1,442.0,59.9,0,1,0
Wrestling,Freestyle wrestler,male,16,57.4,172,7,31,4,1,0,4,maintain,veg,4,0,0,0,2984,123.1,409.7,94.7,0,1,1
Football,Defender,male,15,66.7,164,4,50,4,0,0,3,maintain,veg,1,0,0,0,3369,147.6,568.9,55.9,0,1,0
Kabaddi,All-rounder,male,23,72.1,171,4,101,5,0,0,5,maintain,non-veg,2,0,0,1,2812,133.6,439.0,57.9,0,0,0
Badminton,Singles player,male,23,69.3,176,4,76,5,0,0,5,maintain,non-veg,5,0,0,1,2714,114.1,433.8,58.0,0,0,1
Football,Winger,female,20,50.8,184,7,87,4,1,0,5,bulk,non-veg,1,1,1,1,2965,90.2,315.1,149.3,1,0,0
Athletics,Hurdler,male,25,80.3,175,9,30,5,0,0,7,maintain,veg,3,0,0,0,4146,158.8,717.6,71.1,1,0,0
Badminton,Singles player,female,21,58.9,174,6,82,4,0,0,5,bulk,non-veg,5,1,1,1,2770,90.4,470.6,58.4,1,0,1
Football,Striker,female,17,71.3,154,9,67,3,0,1,2,cut,non-veg,1,1,2,1,2786,143.7,446.7,47.2,1,1,0
Athletics,Jumper,male,23,65.8,193,5,86,3,0,0,2,bulk,non-veg,3,0,1,1,3419,109.8,589.6,69.0,0,0,0
Football,Midfielder,male,18,60.7,177,3,57,5,0,0,6,cut,veg,1,0,2,0,2432,127.3,380.0,44.7,0,1,0
Kabaddi,Defender,male,18,78.1,178,6,81,5,0,1,4,cut,veg,2,0,2,0,2962,178.4,435.5,56.3,0,1,0
Kabaddi,Defender,male,19,76.2,169,4,111,5,0,0,4,maintain,veg,2,0,0,0,3241,153.3,523.1,59.5,0,1,0
Athletics,Thrower,female,26,54.8,157,6,120,4,0,0,6,maintain,veg,3,1,0,0,2298,120.9,351.5,45.4,1,0,0
Wrestling,Freestyle wrestler,male,20,62.6,162,5,51,5,0,0,4,maintain,non-veg,4,0,0,1,3060,159.9,481.5,54.9,0,0,1
Cricket,Batsman,male,19,53.3,164,2,122,4,0,0,8,maintain,veg,0,0,0,0,2067,84.0,331.7,44.9,0,1,0
Athletics,Thrower,male,19,73.3,169,3,53,3,0,0,5,maintain,veg,3,0,0,0,3420,138.0,593.7,54.8,0,1,0
Football,Goalkeeper,male,25,87.9,162,8,100,4,0,0,4,maintain,non-veg,1,0,0,1,4119,173.5,701.3,68.9,0,0,0
Wrestling,Greco-Roman wrestler,female,14,57.5,155,5,128,5,0,0,5,maintain,non-veg,4,1,0,1,2579,146.8,392.8,46.7,1,1,1
Wrestling,Freestyle wrestler,male,18,77.3,163,6,87,3,1,0,1,bulk,non-veg,4,0,1,1,3706,206.0,548.6,76.4,0,1,1
Badminton,Doubles player,male,15,59.9,173,6,128,6,0,0,4,bulk,veg,5,0,1,0,2957,99.4,477.8,72.0,0,1,1
Cricket,Wicket-keeper,male,18,61.4,170,5,106,5,0,0,8,cut,veg,0,0,2,0,2497,104.1,410.3,48.8,0,1,0
Cricket,All-rounder,female,20,69.9,168,8,92,4,0,0,2,maintain,non-veg,0,1,0,1,2656,135.9,397.9,57.9,1,0,0
Badminton,Singles player,male,23,65.2,181,0,53,3,0,1,5,cut,non-veg,5,0,2,1,2522,102.8,449.8,34.6,0,0,1
Badminton,Singles player,female,21,45.8,163,4,42,6,0,0,7,bulk,non-veg,5,1,1,1,2177,82.6,322.6,61.8,1,0,1
Kabaddi,Defender,male,17,79.1,173,7,95,6,0,0,7,maintain,veg,2,0,0,0,3812,160.8,639.9,67.7,0,1,1
Kabaddi,Defender,male,16,79.8,179,6,105,5,1,0,1,cut,veg,2,0,2,0,3459,182.3,531.2,67.2,0,1,0
Athletics,Jumper,female,28,65.2,160,1,73,5,1,0,6,bulk,non-veg,3,1,1,1,3940,132.2,732.5,53.5,1,0,0
Wrestling,Greco-Roman wrestler,female,17,53.8,161,4,99,4,0,0,5,cut,veg,4,1,2,0,2267,137.9,345.9,36.9,1,1,1
Wrestling,Freestyle wrestler,male,18,72.6,175,8,71,3,1,0,2,bulk,non-veg,4,0,1,1,4385,184.9,724.2,83.2,0,1,1
Cricket,Batsman,female,18,58.2,158,7,94,7,0,0,5,maintain,non-veg,0,1,0,1,2241,88.9,338.6,59.0,1,1,0
Athletics,Jumper,male,20,61.6,174,2,124,3,1,0,2,maintain,non-veg,3,0,0,1,3850,145.6,684.7,58.7,0,0,0
Football,Midfielder,male,17,74.6,190,6,62,4,1,0,5,maintain,non-veg,1,0,0,1,4437,167.8,771.7,75.4,0,1,0
Kabaddi,Defender,male,23,65.1,180,6,61,4,0,0,3,cut,non-veg,2,0,2,1,2824,155.8,430.3,53.3,0,0,0
Football,Striker,male,20,69.3,162,1,134,5,0,0,8,maintain,non-veg,1,0,0,1,3003,111.7,534.4,46.5,0,0,0
Athletics,Thrower,female,22,56.4,156,1,87,6,0,0,3,maintain,veg,3,1,0,0,2480,91.0,446.6,36.6,1,0,0
Athletics,Thrower,female,23,45.0,175,7,115,3,0,0,5,bulk,non-veg,3,1,1,1,2455,85.1,383.3,64.6,1,0,0
Wrestling,Freestyle wrestler,male,15,74.5,168,7,78,3,0,0,1,maintain,non-veg,4,0,0,1,3460,183.5,534.9,65.2,0,1,1
Athletics,Jumper,male,21,71.3,152,7,46,2,0,1,1,maintain,veg,3,0,0,0,2923,136.4,466.5,56.8,0,0,0
Athletics,Long-distance runner,male,17,52.8,172,3,119,6,0,0,7,maintain,non-veg,3,0,0,1,2694,98.0,465.0,49.1,1,1,1
Wrestling,Greco-Roman wrestler,male,20,48.4,161,4,106,3,0,0,3,maintain,non-veg,4,0,0,1,2322,109.6,362.8,48.1,0,0,1
Kabaddi,Raider,male,17,80.2,172,6,124,4,0,0,4,cut,veg,2,0,2,0,3591,184.7,582.3,58.1,0,1,0
Badminton,Doubles player,male,14,76.2,183,5,113,3,0,0,5,maintain,non-veg,5,0,0,1,3242,115.6,547.8,65.4,0,1,1
Cricket,Spin bowler,male,16,65.7,162,5,35,3,0,0,4,bulk,non-veg,0,0,1,1,2851,129.1,418.7,73.3,0,1,0
Cricket,All-rounder,female,20,61.5,152,1,59,4,1,0,6,maintain,veg,0,1,0,0,3079,133.5,534.0,45.4,1,0,0
Kabaddi,All-rounder,female,18,77.5,152,6,89,4,1,0,6,maintain,non-veg,2,1,0,1,3755,179.4,622.8,60.7,1,1,0
Athletics,Hurdler,female,16,52.8,161,5,84,7,0,0,5,maintain,non-veg,3,1,0,1,2694,88.2,481.7,46.0,1,1,0
Kabaddi,Defender,male,25,60.2,184,6,120,7,0,0,2,bulk,non-veg,2,0,1,1,2993,120.6,380.3,109.9,0,0,0
Kabaddi,All-rounder,female,19,86.9,161,4,83,4,0,0,7,maintain,non-veg,2,1,0,1,3322,156.5,548.4,55.8,1,1,0
Wrestling,Freestyle wrestler,male,16,64.2,159,1,108,2,1,0,3,bulk,veg,4,0,1,0,3424,160.5,559.8,60.3,0,1,1
Badminton,Singles player,male,24,52.5,182,9,90,6,0,0,3,maintain,non-veg,5,0,0,1,2785,87.4,367.9,107.1,0,0,1
Kabaddi,Defender,male,19,68.3,168,5,92,4,0,0,7,maintain,non-veg,2,0,0,1,2914,128.5,468.6,58.4,0,1,0
Cricket,Fast bowler,male,23,65.2,182,7,111,6,0,0,5,cut,non-veg,0,0,2,1,2505,108.6,378.0,62.1,0,0,0
Badminton,Doubles player,male,22,80.4,164,7,140,4,0,1,3,maintain,non-veg,5,0,0,1,3151,128.9,517.4,62.9,0,0,1
Football,Goalkeeper,male,17,53.6,172,5,100,7,1,0,5,bulk,veg,1,0,1,0,3052,122.8,394.6,109.2,0,1,0
Cricket,Spin bowler,male,18,70.0,169,7,84,7,0,0,5,cut,non-veg,0,0,2,1,2647,133.3,403.7,55.4,0,1,0
Athletics,Thrower,male,22,78.9,171,7,30,6,0,1,6,maintain,non-veg,3,0,0,1,3291,154.4,524.4,64.0,0,0,0
Football,Winger,female,24,57.9,160,6,87,6,0,1,2,maintain,non-veg,1,1,0,1,2042,105.3,282.0,54.7,1,0,0
Cricket,Fast bowler,male,22,64.4,170,3,99,5,1,0,2,maintain,veg,0,0,0,0,2980,152.5,456.7,60.3,0,0,0
Badminton,Singles player,male,19,64.5,170,4,79,7,0,1,4,bulk,non-veg,5,0,1,1,2707,117.6,315.2,108.4,0,1,1
Football,Winger,female,19,45.0,168,7,52,2,0,0,3,maintain,non-veg,1,1,0,1,2120,78.8,345.5,47.0,1,1,0
Athletics,Thrower,male,17,67.5,173,3,85,4,0,1,6,cut,non-veg,3,0,2,1,2331,156.8,327.0,44.0,0,1,0
Cricket,Fast bowler,female,23,63.7,157,7,99,5,0,1,3,bulk,non-veg,0,1,1,1,2482,118.4,371.3,58.1,1,0,0
Athletics,Hurdler,female,17,49.7,157,10,78,6,0,0,4,cut,veg,3,1,2,0,2130,80.3,352.6,44.3,1,1,0
Kabaddi,Raider,male,21,75.9,167,4,139,6,0,1,6,bulk,non-veg,2,0,1,1,3647,166.5,603.3,63.1,0,0,0
Badminton,Singles player,female,28,58.4,165,3,65,3,0,0,4,bulk,veg,5,1,1,0,2206,94.6,344.4,50.0,1,0,1
Kabaddi,All-rounder,male,14,81.8,174,4,121,5,0,0,5,maintain,non-veg,2,0,0,1,3241,160.5,507.0,63.4,0,1,0
Badminton,Singles player,female,20,73.4,163,0,97,3,0,1,3,maintain,veg,5,1,0,0,2500,117.4,423.0,37.6,1,0,1
Cricket,Wicket-keeper,male,16,70.0,162,6,157,3,0,0,4,bulk,veg,0,0,1,0,3002,132.8,456.9,71.5,0,1,0
Cricket,Fast bowler,male,20,76.9,189,9,74,3,0,0,4,maintain,non-veg,0,0,0,1,3395,160.0,521.8,74.2,0,0,0
Football,Winger,male,16,72.5,163,5,115,4,0,0,3,bulk,veg,1,0,1,0,2970,131.9,438.8,76.4,0,1,0
Wrestling,Freestyle wrestler,male,20,69.8,176,5,78,4,0,0,3,bulk,non-veg,4,0,1,1,3025,127.5,474.1,68.7,0,0,1
Football,Striker,male,23,74.2,166,7,96,4,0,0,6,maintain,non-veg,1,0,0,1,3664,143.5,630.5,63.1,0,0,0
Cricket,Wicket-keeper,female,15,82.5,152,7,102,3,0,1,7,maintain,non-veg,0,1,0,1,2861,139.2,450.3,55.9,1,1,0
Badminton,Doubles player,male,17,85.3,164,6,86,4,0,0,6,bulk,veg,5,0,1,0,3897,151.7,659.1,72.6,0,1,1
Cricket,Wicket-keeper,male,24,63.4,179,8,122,4,0,0,2,cut,veg,0,0,2,0,2520,126.5,377.7,55.9,0,0,0
Kabaddi,Raider,male,26,62.2,162,4,96,5,0,1,5,maintain,non-veg,2,0,0,1,2882,149.0,459.4,49.8,0,0,0
Wrestling,Greco-Roman wrestler,male,21,64.6,175,8,111,5,1,0,4,maintain,veg,4,0,0,0,3461,159.4,542.6,72.6,0,0,1
Athletics,Long-distance runner,male,21,61.0,171,6,109,5,0,1,8,maintain,non-veg,3,0,0,1,2698,107.4,441.8,55.7,1,0,0
Kabaddi,Raider,male,20,63.6,161,4,79,6,0,0,9,maintain,non-veg,2,0,0,1,2844,149.0,442.2,53.3,0,0,1
Athletics,Sprinter,female,19,63.2,170,5,111,5,1,0,4,maintain,non-veg,3,1,0,1,2628,116.9,410.4,57.7,1,1,0
Cricket,Wicket-keeper,male,19,79.1,175,3,85,7,1,0,6,bulk,non-veg,0,0,1,1,3944,161.8,658.1,73.8,0,1,0
Wrestling,Freestyle wrestler,male,21,70.2,170,3,110,4,0,1,1,cut,non-veg,4,0,2,1,2613,172.7,382.5,43.6,0,0,1
Athletics,Thrower,female,14,47.7,161,8,119,6,1,0,4,bulk,non-veg,3,1,1,1,2829,123.1,357.9,100.6,1,1,0
Wrestling,Freestyle wrestler,male,21,58.9,178,3,56,5,0,0,8,cut,non-veg,4,0,2,1,2688,138.6,434.8,43.8,1,0,1
Athletics,Sprinter,male,18,57.1,156,5,125,3,0,0,5,cut,veg,3,0,2,0,2280,112.3,358.3,44.2,0,1,0
Badminton,Doubles player,male,22,63.8,176,6,91,6,0,1,6,bulk,non-veg,5,0,1,1,2894,116.1,288.8,141.6,0,0,1
Cricket,Batsman,male,19,68.8,189,6,30,4,0,0,1,cut,veg,0,0,2,0,2586,122.7,376.7,65.4,0,1,0
Athletics,Jumper,male,16,68.0,174,5,48,5,1,0,8,maintain,veg,3,0,0,0,3465,156.4,558.5,67.3,1,1,0
Athletics,Long-distance runner,male,23,62.6,177,6,131,5,0,1,6,maintain,veg,3,0,0,0,2791,102.8,466.0,57.3,0,0,0
Badminton,Doubles player,male,25,70.0,169,7,91,5,0,0,2,cut,non-veg,5,0,2,1,3032,125.2,511.4,54.0,0,0,1
Football,Midfielder,male,21,71.1,170,4,89,7,1,0,1,maintain,non-veg,1,0,0,1,4002,140.4,714.5,64.7,0,0,0
Football,Goalkeeper,male,24,64.3,171,6,93,5,0,0,4,bulk,non-veg,1,0,1,1,2972,137.4,458.9,65.2,0,0,0
Athletics,Hurdler,female,14,57.1,167,4,99,5,0,1,4,cut,non-veg,3,1,2,1,2588,107.3,454.9,37.7,1,1,0
Cricket,Fast bowler,male,17,78.0,169,3,93,5,0,0,6,maintain,non-veg,0,0,0,1,2966,121.8,492.3,56.6,0,1,0
Athletics,Sprinter,male,21,65.3,178,3,161,6,0,0,6,bulk,non-veg,3,0,1,1,2884,129.7,455.5,60.3,0,0,0
Badminton,Singles player,female,24,45.0,160,8,73,3,0,0,5,maintain,veg,5,1,0,0,2046,72.3,273.7,73.5,1,0,1
Badminton,Singles player,male,14,69.7,170,3,95,6,0,0,5,maintain,non-veg,5,0,0,1,2955,117.5,498.4,54.6,0,1,1
Wrestling,Freestyle wrestler,male,15,74.6,177,5,108,5,1,0,2,bulk,veg,4,0,1,0,3480,166.6,480.1,99.2,0,1,1
Badminton,Singles player,female,16,55.6,161,5,135,5,0,1,3,cut,veg,5,1,2,0,2318,102.1,394.1,37.0,1,1,1
Wrestling,Freestyle wrestler,female,18,52.1,153,6,103,4,0,0,6,maintain,non-veg,4,1,0,1,2395,122.4,375.2,45.0,1,1,1
Cricket,Wicket-keeper,male,28,85.1,165,7,116,4,0,0,1,bulk,veg,0,0,1,0,3559,163.5,562.6,72.7,0,0,0
Football,Goalkeeper,male,14,65.3,184,7,42,4,0,0,3,cut,non-veg,1,0,2,1,2950,135.5,471.6,57.9,0,1,0
Athletics,Jumper,male,20,63.8,170,9,117,4,0,0,4,bulk,non-veg,3,0,1,1,3190,107.6,389.4,133.5,0,0,0
Kabaddi,Raider,female,22,65.6,155,7,62,4,0,0,2,bulk,veg,2,1,1,0,2807,128.8,443.0,57.8,1,0,0
Cricket,Batsman,male,19,58.1,182,4,95,6,1,0,3,maintain,non-veg,0,0,0,1,2837,115.6,449.7,64.0,0,1,0
Wrestling,Freestyle wrestler,male,20,73.2,168,7,39,4,0,1,6,cut,veg,4,0,2,0,3100,132.0,522.3,53.7,0,0,1
Cricket,All-rounder,male,22,74.7,174,5,106,3,0,1,5,maintain,non-veg,0,0,0,1,2939,143.9,457.4,59.3,0,0,0
Cricket,Fast bowler,male,14,67.2,188,4,79,4,0,0,4,cut,non-veg,0,0,2,1,2412,120.5,342.0,62.5,0,1,0
Wrestling,Greco-Roman wrestler,male,24,90.0,181,4,69,4,0,1,8,cut,non-veg,4,0,2,1,3131,190.3,466.4,56.0,1,0,1
Badminton,Singles player,male,19,75.6,176,5,110,2,0,0,5,bulk,non-veg,5,0,1,1,3126,123.7,496.7,71.6,0,1,1
Athletics,Long-distance runner,female,26,50.8,162,7,135,4,0,1,7,bulk,veg,3,1,1,0,2290,90.8,345.3,60.6,1,0,0
Football,Goalkeeper,male,19,55.8,178,5,71,4,1,0,5,maintain,non-veg,1,0,0,1,3035,106.0,511.1,63.0,0,1,0
Kabaddi,Defender,male,23,89.5,167,3,84,4,0,0,6,bulk,veg,2,0,1,0,3538,192.4,544.4,65.6,0,0,0
Wrestling,Freestyle wrestler,male,20,56.8,177,9,54,3,0,0,4,cut,non-veg,4,0,2,1,2785,145.8,425.8,55.4,0,0,1
Wrestling,Freestyle wrestler,male,14,66.1,169,6,73,3,0,1,4,bulk,veg,4,0,1,0,2926,133.6,426.2,76.3,0,1,1
Cricket,Spin bowler,male,15,46.4,160,5,81,5,0,0,3,maintain,non-veg,0,0,0,1,2230,85.4,298.2,77.3,0,1,0
Athletics,Thrower,male,21,71.9,166,6,61,3,0,0,5,bulk,veg,3,0,1,0,3381,132.2,561.5,67.4,0,0,0
Badminton,Doubles player,male,18,70.6,169,7,94,5,0,0,4,maintain,veg,5,0,0,0,2881,132.3,445.3,63.4,0,1,1
Athletics,Sprinter,male,18,66.7,183,7,73,5,0,0,3,maintain,non-veg,3,0,0,1,3005,142.9,461.7,65.2,0,1,0
Football,Striker,male,21,75.7,168,5,88,3,0,0,4,maintain,non-veg,1,0,0,1,3398,130.8,582.2,60.7,0,0,0
Badminton,Doubles player,male,14,56.3,172,5,30,7,0,0,1,maintain,veg,5,0,0,0,2518,88.5,415.2,55.9,0,1,1
Badminton,Doubles player,male,20,74.4,164,6,30,6,0,0,5,maintain,veg,5,0,0,0,3189,123.4,535.7,61.4,0,0,1
Football,Goalkeeper,female,19,52.9,155,4,70,4,1,0,3,maintain,veg,1,1,0,0,3034,131.1,517.3,48.9,1,1,0
Athletics,Hurdler,male,16,65.7,173,5,124,5,0,0,1,cut,veg,3,0,2,0,3576,140.2,638.1,51.4,0,1,0
Wrestling,Greco-Roman wrestler,male,18,53.0,172,5,56,3,1,0,6,maintain,non-veg,4,0,0,1,2734,106.2,388.4,84.0,0,1,1
Football,Defender,female,18,57.1,158,4,68,4,0,0,7,maintain,veg,1,1,0,0,2341,97.0,387.0,45.0,1,1,0
Badminton,Singles player,male,14,70.8,171,10,79,4,0,0,6,maintain,non-veg,5,0,0,1,3252,119.9,484.6,92.7,0,1,1
Athletics,Long-distance runner,female,22,58.9,156,6,131,6,0,0,2,maintain,veg,3,1,0,0,2645,111.5,443.2,47.4,1,0,0
Football,Winger,female,22,61.5,174,6,86,6,0,0,5,bulk,non-veg,1,1,1,1,3168,125.2,533.7,59.2,1,0,0
Football,Striker,male,16,71.9,187,8,64,7,0,0,6,bulk,non-veg,1,0,1,1,3772,135.6,633.7,77.2,0,1,0
Football,Winger,male,20,66.7,178,7,85,3,1,0,1,maintain,veg,1,0,0,0,3182,119.0,512.0,73.1,0,0,0
Athletics,Long-distance runner,male,21,70.2,161,9,86,4,0,0,3,maintain,veg,3,0,0,0,3669,141.9,630.6,64.3,0,0,0
Wrestling,Freestyle wrestler,female,22,54.4,152,5,82,6,0,0,7,cut,non-veg,4,1,2,1,2224,123.4,352.3,35.7,1,1,1
Cricket,Fast bowler,female,18,71.6,152,9,101,5,0,0,8,bulk,non-veg,0,1,1,1,3036,149.6,467.1,63.3,1,1,0
Athletics,Hurdler,male,18,67.4,165,5,79,4,1,0,4,cut,non-veg,3,0,2,1,2790,127.7,442.0,56.8,0,1,0
Cricket,Wicket-keeper,male,20,67.0,170,6,92,4,1,0,3,maintain,non-veg,0,0,0,1,3016,139.3,353.7,116.0,0,0,0
Badminton,Doubles player,female,14,61.6,165,6,121,5,0,0,6,maintain,veg,5,1,0,0,2502,109.4,399.3,51.9,1,1,1
Badminton,Singles player,male,14,45.0,171,8,87,4,0,1,5,bulk,veg,5,0,1,0,2744,81.5,251.2,157.0,0,1,1
Athletics,Hurdler,female,25,56.7,152,4,84,5,0,0,6,maintain,non-veg,3,1,0,1,2480,98.8,425.7,42.4,1,0,0
Football,Goalkeeper,male,23,100.8,177,5,116,4,0,0,6,cut,non-veg,1,0,2,1,3961,225.3,622.0,63.5,0,0,0
